S/4HANA Options;SAP S/4HANA Cloud Edition - by SAP;;;SAP S/4HANA AnyPremise (previously called S/4HANA On-Premises);;;
;called Cloud ERP;;;called ERP in the Cloud;;;called ERP in DC
;"S/4HANA Cloud ES (Essentials Edition)
 previously called 
Multi Tenant Edition (MTE)";"S/4HANA Cloud ED (Extended Edition)
previously called
 Single Tenant Edition (STE)";"RISE with SAP S/4HANA Cloud Private Edition
previously called 
Private Cloud Edition (PCE)";"S/4HANA Private Cloud Managed by SAP (HEC)
On-Premises Edition";"SAP HEC Customer Edition
Runs on Customer Data Center";"S/4HANA AnyPremise
Public Cloud (AZURE|AWS|GCP)";"S/4HANA AnyPremise
Customer Data Center"
Model;SaaS;SaaS;SaaS;MCaaS (HEC offering);MCaaS (HEC offering);IaaS;N/A
Compatible with Theobald Software solutions;No;"Yes
(with limitations)";Yes;Yes;Yes;Yes;Yes
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
